,name,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
60,Winterdagen,False,41,0.778,0.702,11,-7.758,0,0.375,0.271,5.36e-06,0.111,0.238,98.176
61,De Prijs,True,40,0.591,0.745,1,-7.585,0,0.519,0.302,1.38e-05,0.0843,0.211,66.83
62,Niet Genoeg,True,40,0.802,0.601,8,-6.457,1,0.363,0.343,7.5e-06,0.124,0.233,95.023
63,Nog Steeds,False,39,0.857,0.441,1,-8.493,1,0.438,0.608,3.01e-06,0.122,0.0837,112.051
64,Blauwe Lichten,True,44,0.685,0.553,10,-8.674,1,0.296,0.229,0.0,0.109,0.51,86.32
65,Alles Of Niks,True,44,0.774,0.583,6,-8.103,0,0.346,0.548,1.23e-05,0.1,0.42,99.998
66,Vastberaden,True,46,0.789,0.699,8,-7.471,1,0.399,0.478,0.0,0.105,0.386,93.735
67,Mijn Story,True,45,0.753,0.62,0,-8.495,1,0.493,0.52,0.0,0.104,0.441,91.763
68,Studiosessie 304 - 101Barz,True,50,0.548,0.361,5,-12.257,0,0.378,0.00681,0.0,0.116,0.539,81.991
69,Gordelweg,True,50,0.711,0.659,1,-6.872,1,0.331,0.157,0.0,0.132,0.411,89.998
70,Punchline Killer,True,26,0.749,0.549,4,-8.886,0,0.319,0.0656,0.0,0.0831,0.163,97.279
71,Nooit Meer Terug,False,28,0.383,0.863,9,-4.49,1,0.439,0.29,0.0,0.464,0.475,177.944
72,Maskerade,True,25,0.636,0.34,5,-11.183,0,0.261,0.495,0.000512,0.0805,0.627,99.279
73,Maniac,True,41,0.854,0.674,10,-7.692,0,0.28,0.125,0.0,0.255,0.674,122.118
74,Til 'Em Op,True,47,0.851,0.612,4,-8.032,0,0.279,0.517,0.0,0.139,0.8,104.055
75,Moest Al Lang,True,35,0.829,0.759,10,-5.617,0,0.233,0.462,0.0,0.125,0.854,99.618
76,Kort Lontje,True,45,0.804,0.66,11,-9.233,1,0.521,0.105,0.0,0.0971,0.518,89.86
77,Geen Zin Soms,True,35,0.704,0.849,0,-6.591,0,0.111,0.171,1.65e-06,0.0912,0.924,195.197
78,MANSORY,True,55,0.907,0.649,8,-6.479,1,0.234,0.0982,0.0,0.0786,0.561,94.99
79,Het Leven Is Een Trip,True,52,0.855,0.53,6,-7.751,0,0.317,0.155,0.000143,0.0988,0.388,108.04
80,Dag Tot Dag,True,27,0.64,0.588,6,-4.484,1,0.257,0.0336,0.0,0.222,0.732,87.97
